/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_54_631.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_54_631.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_54_631.jpg, 0, 0, 0, 8.153463E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_54_737.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_54_737.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_54_737.jpg, 0, 0, 0, 8.060122E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_54_845.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_54_845.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_54_845.jpg, 0, 0, 0, 8.154663E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_54_951.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_54_951.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_54_951.jpg, 0, 0, 0, 8.180995E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_061.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_061.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_061.jpg, 0, 0, 0, 8.249313E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_164.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_164.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_164.jpg, 0, 0, 0, 8.245403E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_273.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_273.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_273.jpg, 0, 0, 0, 8.128652E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_380.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_380.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_380.jpg, 0, 0, 0, 8.072802E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_481.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_481.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_481.jpg, 0, 0, 0, 8.142457E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_584.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_584.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_584.jpg, 0, 0, 0, 8.183038E-05
/Users/cam/Documents/Complete SDC Course/Data/IMG/center_2019_02_09_22_28_55_693.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/left_2019_02_09_22_28_55_693.jpg, /Users/cam/Documents/Complete SDC Course/Data/IMG/right_2019_02_09_22_28_55_693.jpg, 0, 0, 0, 8.106678E-05
